ITEM,MATERIAL,DESCRIPTION,"Supplier Price
July 2025",Supplier Price Sep 2025,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES
SHEATHING,ADV,"4x8'-1/2"" SE Advantec",$34.50,$35.50,15.00%,,$40.83,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-5/8"" SE Advantec",$37.89,$40.99,15.00%,,$47.14,sheets,Builders First Source BFS Group LLC,Sheathing,
,PT,"4x8'-1/2"" PT CDX",$36.50,$34.50,15.00%,,$39.68,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-3/4"" PT CDX",$48.89,$43.89,15.00%,,$50.47,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-5/8"" PT CDX",Requested,$0.00,15.00%,,$0.00,sheets,Builders First Source BFS Group LLC,Sheathing,
,OSB,"4x8'-1/2"" OSB SE",$13.50,$13.69,15.00%,,$15.74,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-5/8"" OSB SE",$17.50,$17.50,15.00%,,$20.13,sheets,Builders First Source BFS Group LLC,Sheathing,
,T&G,"4x8'-3/4"" OSB T&G",$23.50,$22.69,15.00%,,$26.09,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-5/8"" OSB T&G",$17.89,$17.50,15.00%,,$20.13,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-3/4"" CDX T&G - LP TN350",$23.50,$25.89,15.00%,,$29.77,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-3/4"" T&G Advantech",$41.99,$44.50,15.00%,,$51.18,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-5/8"" T&G Advantech",$40.99,$39.50,15.00%,,$45.43,sheets,Builders First Source BFS Group LLC,Sheathing,
,CDX,"4x8'-1/2"" CDX SE",$27.50,$24.50,15.00%,,$28.18,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-3/4"" CDX SE",$34.69,$36.50,15.00%,,$41.98,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-5/8"" CDX SE",$30.99,$30.99,15.00%,,$35.64,sheets,Builders First Source BFS Group LLC,Sheathing,
,ZIP,"4x8'-7/16"" Green Zip",$29.50,$29.50,15.00%,,$33.93,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x9'-7/16"" Green Zip",$48.50,$0.00,15.00%,,$55.78,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-1/2"" Brown Zip",$30.99,$31.89,15.00%,,$36.67,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-5/8"" Brown Zip",$36.89,$36.89,15.00%,,$42.42,sheets,Builders First Source BFS Group LLC,Sheathing,
,ZIP-R,"4x8'x1""(R-3) Green Zip",$82.99,$82.99,15.00%,,$95.44,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'x1-1/2""(R-6) Green Zip",Requested,$0.00,15.00%,,$0.00,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'x2""(R-9) Green Zip",Requested,$0.00,15.00%,,$0.00,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'x2-1/2""(R-12) Green Zip",$110.24,$110.24,15.00%,,$126.78,sheets,Builders First Source BFS Group LLC,Sheathing,
,FRT,"4x8'-1/2"" FRT CDX",$41.99,$38.89,25.00%,,$48.61,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-19/32"" FRT CDX",$45.69,$43.50,25.00%,,$54.38,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-7/16"" FRT LP Flameblock 2 sides",$0.00,$113.66,25.00%,,$142.08,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-1/2"" FRT LP Flameblock 2 sides",$0.00,$122.21,25.00%,,$152.76,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-3/4"" FRT CDX",$52.50,$50.99,15.00%,,$58.64,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-3/4"" FRT T&G CDX",$61.69,$68.31,15.00%,,$78.56,sheets,Builders First Source BFS Group LLC,Sheathing,
,INS,"4x8'x1"" Rigid Insulation",$34.75,$34.75,15.00%,,$39.96,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'x2"" Rigid Insulation",$66.75,$66.75,15.00%,,$76.76,sheets,Builders First Source BFS Group LLC,Sheathing,
,Marine,"4x8'-1/2"" Marine Plywood",$126.52,$0.00,15.00%,,$145.50,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-1/4"" Marine Plywood",$107.75,$0.00,15.00%,,$123.91,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-3/4"" Marine Plywood",$146.88,$0.00,15.00%,,$168.91,sheets,Builders First Source BFS Group LLC,Sheathing,
,,"4x8'-5/8"" Marine Plywood",$136.16,$0.00,15.00%,,$156.58,sheets,Builders First Source BFS Group LLC,Sheathing,
STRAPPIING,1X3 Strapp,"1x3""-8' Strapping",$1.62,$1.72,15.00%,,$1.98,pcs,Builders First Source BFS Group LLC,Strapping,
,,"1x3""-12' Strapping",$2.50,$2.69,15.00%,,$3.09,pcs,Builders First Source BFS Group LLC,Strapping,
,,"1x3""-16' Strapping",$3.50,$3.69,15.00%,,$4.24,pcs,Builders First Source BFS Group LLC,Strapping,
SPRUCE PINE FIR,SPF#2,"2x4""-92-5/8"" SPF#2",$3.89,$3.73,15.00%,,$4.29,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x4""-8' SPF#2",$3.50,$4.05,15.00%,,$4.66,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x4""-104-5/8"" SPF#2",$4.50,$4.59,15.00%,,$5.28,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x4""-10' SPF#2",$4.50,$4.81,15.00%,,$5.53,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x4""-12' SPF#2",$4.99,$5.61,15.00%,,$6.45,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x4""-14' SPF#2",$5.99,$6.79,15.00%,,$7.81,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x4""-16' SPF#2",$7.69,$8.59,15.00%,,$9.88,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x6""-92-5/8"" SPF#2",$5.50,$5.56,15.00%,,$6.39,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x6""-8' SPF#2",$5.89,$5.35,15.00%,,$6.15,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x6""-104-5/8"" SPF#2",$6.29,$6.64,15.00%,,$7.64,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x6""-10' SPF#2",$6.50,$6.86,15.00%,,$7.89,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x6""-12' SPF#2",$7.19,$7.61,15.00%,,$8.75,pcs,Builders First Source BFS Group LLC,SPF Lumber,Higher price taked from BFS quote 672570
,,"2x6""-14' SPF#2",$7.50,$8.05,15.00%,,$9.26,pcs,Builders First Source BFS Group LLC,SPF Lumber,Higher price taked from BFS quote 672570
,,"2x6""-16' SPF#2",$10.99,$11.18,15.00%,,$12.86,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x6""-18' SPF#2",$15.50,$17.23,15.00%,,$19.81,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x6""-20' SPF#2",$17.89,$20.79,15.00%,,$23.91,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x6""-24' SPF#2",$31.50,$0.00,15.00%,,$36.23,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x8""-8' SPF#2",$6.69,$7.07,15.00%,,$8.13,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x8""-10' SPF#2",$8.09,$8.31,15.00%,,$9.56,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x8""-12' SPF#2",$10.99,$10.31,15.00%,,$11.86,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x8""-14' SPF#2",$11.50,$12.63,15.00%,,$14.52,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x8""-16' SPF#2",$13.69,$14.53,15.00%,,$16.71,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x8""-18' SPF#2",$20.99,$26.50,15.00%,,$30.48,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x8""-20' SPF#2",$23.50,$29.69,15.00%,,$34.14,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x10""-8' SPF#2",$9.50,$9.23,15.00%,,$10.61,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x10""-10' SPF#2",$14.50,$14.79,15.00%,,$17.01,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x10""-12' SPF#2",$18.50,$18.41,15.00%,,$21.17,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x10""-14' SPF#2",$19.50,$19.39,15.00%,,$22.30,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x10""-16' SPF#2",$20.99,$20.79,15.00%,,$23.91,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x10""-18' SPF#2",$22.99,$23.71,15.00%,,$27.27,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x10""-20' SPF#2",$27.50,$26.95,15.00%,,$30.99,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x12""-8' SPF#2",$13.50,$14.50,15.00%,,$16.68,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x12""-10' SPF#2",$18.89,$20.99,15.00%,,$24.14,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x12""-12' SPF#2",$25.50,$25.89,15.00%,,$29.77,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x12""-14' SPF#2",$27.50,$28.99,15.00%,,$33.34,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x12""-16' SPF#2",$38.89,$42.99,15.00%,,$49.44,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x12""-18' SPF#2",$39.50,$43.99,15.00%,,$50.59,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,"2x12""-20' SPF#2",$45.50,$50.99,15.00%,,$58.64,pcs,Builders First Source BFS Group LLC,SPF Lumber,
Douglas-Fir / Hem-Fir,,"2x10""-22' DF/HF",$0.00,$41.50,20.00%,,$49.80,pcs,Builders First Source BFS Group LLC,DF/HF,
,,"2x10""-24' DF/HF",$0.00,$45.50,20.00%,,$54.60,pcs,Builders First Source BFS Group LLC,DF/HF,
,,"2x10""-26' DF/HF",$0.00,$67.99,20.00%,,$81.59,pcs,Builders First Source BFS Group LLC,DF/HF,
,,"2x10""-28' DF/HF",$0.00,$96.69,20.00%,,$116.03,pcs,Builders First Source BFS Group LLC,DF/HF,
,,"2x12""-22' DF/HF",$0.00,$60.99,20.00%,,$73.19,pcs,Builders First Source BFS Group LLC,DF/HF,
,,"2x12""-24' DF/HF",$0.00,$65.50,20.00%,,$78.60,pcs,Builders First Source BFS Group LLC,DF/HF,
,,"2x12""-26' DF/HF",$0.00,$149.50,20.00%,,$179.40,pcs,Builders First Source BFS Group LLC,DF/HF,
,,"2x12""-28' DF/HF",$0.00,$149.50,20.00%,,$179.40,pcs,Builders First Source BFS Group LLC,DF/HF,
PRESSURE TREATED LUMBER,,"2x4""-8' PT",$6.29,$5.99,15.00%,,$6.89,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x4""-10' PT",$7.29,$7.29,15.00%,,$8.38,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x4""-12' PT",$8.19,$8.19,15.00%,,$9.42,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x4""-14' PT",$11.69,$10.99,15.00%,,$12.64,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x4""-16' PT",$13.50,$11.89,15.00%,,$13.67,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x6""-8' PT",$8.50,$8.99,15.00%,,$10.34,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x6""-10' PT",$11.69,$10.99,15.00%,,$12.64,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x6""-12' PT",$12.50,$13.50,15.00%,,$15.53,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x6""-14' PT",$13.69,$14.69,15.00%,,$16.89,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x6""-16' PT",$15.50,$15.69,15.00%,,$18.04,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x8""-8' PT",$11.69,$11.89,15.00%,,$13.67,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x8""-10' PT",$14.50,$15.69,15.00%,,$18.04,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x8""-12' PT",$15.50,$16.89,15.00%,,$19.42,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x8""-14' PT",$17.69,$18.50,15.00%,,$21.28,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x8""-16' PT",$20.99,$22.69,15.00%,,$26.09,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x10""-8' PT",$14.50,$14.69,15.00%,,$16.89,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x10""-10' PT",$16.69,$16.89,15.00%,,$19.42,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x10""-12' PT",$22.50,$23.50,15.00%,,$27.03,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x10""-14' PT",$23.89,$23.69,15.00%,,$27.24,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x10""-16' PT",$28.89,$28.69,15.00%,,$32.99,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x12""-8' PT",$17.89,$18.50,15.00%,,$21.28,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x12""-10' PT",$20.99,$22.69,15.00%,,$26.09,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x12""-12' PT",$24.89,$26.50,15.00%,,$30.48,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x12""-14' PT",$28.89,$29.69,15.00%,,$34.14,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"2x12""-16' PT",$34.50,$33.50,15.00%,,$38.53,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"4x4""-8' PT",$14.50,$13.69,15.00%,,$15.74,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"4x4""-10' PT",$17.50,$16.50,15.00%,,$18.98,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"4x4""-12' PT",$20.25,$19.50,15.00%,,$22.43,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"4x4""-16' PT",$27.89,$26.69,15.00%,,$30.69,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"4x8""-12' PT",$68.47,$68.45,15.00%,,$78.72,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,"6x6""-8' PT",$34.50,$31.50,15.00%,,$36.23,pcs,Builders First Source BFS Group LLC,PT Lumber,
